graph name;iteration number;iteration type;runtime;k-augs searched;#k-augs found;#k-augs no conflicts;weight added;weight removed;weight improvement;old matching weight;new matching weight
hi2010.mtx;13;F;0.002045;-1;-1;-1;574505.000000;0.000000;574505.000000;813626340.000000;814200845.000000
hi2010.mtx;14;S;0.005534;1;6;2;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;15;F;0.001997;-1;-1;-1;50911.000000;0.000000;50911.000000;814200845.000000;814251756.000000
hi2010.mtx;16;S;0.005569;1;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;17;F;0.002056;-1;-1;-1;5281.000000;0.000000;5281.000000;814251756.000000;814257037.000000
hi2010.mtx;18;S;0.095018;2;2806;943;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;19;F;0.004041;-1;-1;-1;126825888.000000;105902532.000000;20923356.000000;814257037.000000;835180393.000000
hi2010.mtx;20;S;0.085123;2;676;231;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;21;F;0.002572;-1;-1;-1;19476662.000000;16100578.000000;3376084.000000;835180393.000000;838556477.000000
hi2010.mtx;22;S;0.093704;2;188;74;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;23;F;0.012259;-1;-1;-1;4999523.000000;4297284.000000;702239.000000;838556477.000000;839258716.000000
hi2010.mtx;24;S;0.080204;2;52;17;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;25;F;0.002065;-1;-1;-1;1491763.000000;1324661.000000;167102.000000;839258716.000000;839425818.000000
hi2010.mtx;26;S;0.079499;2;10;4;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;27;F;0.002019;-1;-1;-1;230269.000000;194042.000000;36227.000000;839425818.000000;839462045.000000
hi2010.mtx;28;S;0.078668;2;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;29;F;0.002047;-1;-1;-1;15666.000000;15372.000000;294.000000;839462045.000000;839462339.000000
hi2010.mtx;30;S;0.080201;2;4;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;31;F;0.001968;-1;-1;-1;16033.000000;15953.000000;80.000000;839462339.000000;839462419.000000
hi2010.mtx;32;S;0.133408;3;530;218;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;33;F;0.002849;-1;-1;-1;41670234.000000;39101379.000000;2568855.000000;839462419.000000;842031274.000000
hi2010.mtx;34;S;0.135533;3;176;53;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;35;F;0.002463;-1;-1;-1;7592708.000000;6967462.000000;625246.000000;842031274.000000;842656520.000000
hi2010.mtx;36;S;0.130536;3;54;17;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;37;F;0.002109;-1;-1;-1;1814956.000000;1611667.000000;203289.000000;842656520.000000;842859809.000000
hi2010.mtx;38;S;0.131112;3;12;4;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;39;F;0.002136;-1;-1;-1;1070749.000000;1011021.000000;59728.000000;842859809.000000;842919537.000000
